s.NameOnSampleWithAnon	PublicID	Metagenome_sample_accession	i.TwinID
NA21082	TUK46325392	SAMEA5814067	NA21082
NA18501	TUK10021251		NA18501
NA50491	TUK67049021	SAMEA5814304	NA50491
NA94651	TUK85621131	SAMEA5814786	NA94651
NA30191	TUK75450941	SAMEA5814155	NA30191
NA59871	TUK93990801		NA59871
NA95501	TUK17155211	SAMEA5814795	NA95501
NA7032	TUK23622162	SAMEA5813962	NA7032
NA10691	TUK55263831		NA10691
NA7042	TUK35985662	SAMEA5813964	NA7042
NA58562	TUK62295152		NA58562
NA10602	TUK14593892		NA10602
NA82302	TUK23142232		NA82302
NA80372	TUK62270522		NA80372
NA30571	TUK55117421		NA30571
NA51512	TUK74970042	SAMEA5814345	NA51512
NA60132	TUK35011692	SAMEA5814557	NA60132
NA9932	TUK56888502		NA9932
NA57472	TUK91403012		NA57472
NA68241	TUK89005991		NA68241
NA50652	TUK23077532	SAMEA5814310	NA50652
NA382	TUK71731452	SAMEA5813861	NA382
NA52792	TUK49735332		NA52792
NA81032	TUK63619932	SAMEA5814648	NA81032
NA52701	TUK61072761	SAMEA5814405	NA52701
NA1172	TUK65827452	SAMEA5813883	NA1172
NA51601	TUK75252711	SAMEA5814351	NA51601
NA30721	TUK47770861	SAMEA5814180	NA30721
NA71502	TUK42255002		NA71502
NA54071	TUK86356651		NA54071
NA59092	TUK88126172		NA59092
NA81971	TUK86622371		NA81971
NA50862	TUK47406932		NA50862
NA7041	TUK35985661	SAMEA5813963	NA7041
NA55751	TUK77876901	SAMEA5814475	NA55751
NA96541	TUK40187901	SAMEA5814814	NA96541
NA95502	TUK17155212	SAMEA5814796	NA95502
NA24082	TUK43411312	SAMEA5814131	NA24082
NA94571	TUK96569461		NA94571
NA81972	TUK86622372		NA81972
NA53432	TUK92850232		NA53432
NA50651	TUK23077531		NA50651
NA55231	TUK53925201		NA55231
NA30722	TUK47770862	SAMEA5814181	NA30722
NA53691	TUK40603561		NA53691
NA33142	TUK16848492	SAMEA5814237	NA33142
NA52101	TUK17709141	SAMEA5814374	NA52101
NA461	TUK78183711		NA461
NA24002	TUK28948032		NA24002
NA51332	TUK92572142	SAMEA5814337	NA51332
NA71501	TUK42255001		NA71501
NA59081	TUK78809641		NA59081
NA56061	TUK56882911		NA56061
NA32031	TUK81225111	SAMEA5814191	NA32031
NA93961	TUK63028451	SAMEA5814757	NA93961
NA59111	TUK66589951		NA59111
NA9931	TUK56888501		NA9931
NA51331	TUK92572141	SAMEA5814336	NA51331
NA52452	TUK71247822	SAMEA5814390	NA52452
NA59271	TUK30754101	SAMEA5814532	NA59271
NA64731	TUK45616301		NA64731
NA60182	TUK22675102	SAMEA5814561	NA60182
NA60511	TUK17992221	SAMEA5814572	NA60511
NA3242	TUK53857332	SAMEA5813920	NA3242
NA1572	TUK97258722	SAMEA5813893	NA1572
NA32331	TUK32962201	SAMEA5814204	NA32331
NA51732	TUK84924082	SAMEA5814358	NA51732
NA96891	TUK96253421		NA96891
NA30142	TUK71867872		NA30142
NA20361	TUK60607211	SAMEA5814060	NA20361
NA81092	TUK87764672	SAMEA5814650	NA81092
NA57732	TUK69752742		NA57732
NA21501	TUK34064451		NA21501
NA52072	TUK18104542	SAMEA5814369	NA52072
NA1171	TUK65827451		NA1171
NA52172	TUK61386682		NA52172
NA52102	TUK17709142		NA52102
NA18502	TUK10021252		NA18502
NA80971	TUK93875851		NA80971
NA54552	TUK72496002	SAMEA5814457	NA54552
NA99202	TUK98998522		NA99202
NA60462	TUK71356302	SAMEA5814570	NA60462
NA11011	TUK31871491	SAMEA5813986	NA11011
NA14862	TUK61446412	SAMEA5814004	NA14862
NA55471	TUK34079311		NA55471
NA24092	TUK96919022		NA24092
NA30602	TUK28791822		NA30602
NA9681	TUK19508251		NA9681
NA71382	TUK80438262		NA71382
NA94531	TUK25436521	SAMEA5814782	NA94531
NA33761	TUK12183881	SAMEA5814258	NA33761
NA53001	TUK20236461	SAMEA5814414	NA53001
NA50901	TUK52859951	SAMEA5814322	NA50901
NA53822	TUK59429042	SAMEA5814437	NA53822
NA94532	TUK25436522	SAMEA5814783	NA94532
NA55472	TUK34079312		NA55472
NA58992	TUK49060372	SAMEA5814519	NA58992
NA75482	TUK29135842		NA75482
NA59381	TUK71137231		NA59381
NA59332	TUK13809272		NA59332
NA1892	TUK25125292		NA1892
NA58961	TUK78844781	SAMEA5814517	NA58961
NA4231	TUK40645661	SAMEA5813936	NA4231
NA4482	TUK68868872		NA4482
NA24471	TUK10547991		NA24471
NA94572	TUK96569462	SAMEA5814784	NA94572
NA1831	TUK71298731	SAMEA5813899	NA1831
NA95311	TUK46767721		NA95311
NA4481	TUK68868871		NA4481
NA59492	TUK90064642	SAMEA5814544	NA59492
NA30221	TUK92628201	SAMEA5814161	NA30221
NA96922	TUK77238212		NA96922
NA53861	TUK54871321	SAMEA5814438	NA53861
NA90312	TUK16074162		NA90312
NA57681	TUK54476961	SAMEA5814493	NA57681
NA90311	TUK16074161		NA90311
NA53042	TUK13383332		NA53042
NA92012	TUK26259072	SAMEA5814732	NA92012
NA92291	TUK61621911	SAMEA5814739	NA92291
NA33671	TUK50603191	SAMEA5814256	NA33671
NA93962	TUK63028452	SAMEA5814758	NA93962
NA54221	TUK25406921		NA54221
NA26941	TUK55769221	SAMEA5814147	NA26941
NA24051	TUK39769531	SAMEA5814129	NA24051
NA51872	TUK65170022	SAMEA5814361	NA51872
