FID	IID	SSN
NA993	NA9931	High1.18
NA5908	NA59081	High1.52
NA5987	NA59871	High1.58
NA9689	NA96891	High1.66
NA2400	NA24002	High1.17
NA38	NA382	High1.72
NA9920	NA99202	High1.45
NA3014	NA30142	High1.78
NA5909	NA59092	High1.85
NA7150	NA71502	High1.61
NA9465	NA94651	High1.35
NA5927	NA59271	High1.53
NA1060	NA10602	High1.36
NA968	NA9681	High1.69
NA9550	NA95501	High1.70
NA8037	NA80372	High1.59
NA117	NA1172	High1.26
NA5343	NA53432	High1.16
NA5065	NA50652	High1.60
NA5173	NA51732	High1.54
NA8197	NA81971	High1.5
NA5856	NA58562	High1.24
NA3072	NA30722	High1.51
NA5210	NA52101	High1.87
NA3060	NA30602	High1.57
NA9457	NA94571	High1.86
NA1069	NA10691	High1.2
NA703	NA7032	High1.82
NA3233	NA32331	High1.31
NA8103	NA81032	High1.4
NA3019	NA30191	High1.46
NA6013	NA60132	High1.3
NA9654	NA96541	High1.50
NA6473	NA64731	High1.65
NA5151	NA51512	High1.83
NA5065	NA50651	High1.28
NA3057	NA30571	High1.71
NA8109	NA81092	High1.20
NA5369	NA53691	High1.63
NA157	NA1572	High1.19
NA6824	NA68241	High1.48
NA993	NA9932	High1.13
NA5270	NA52701	High1.14
NA3203	NA32031	High1.76
NA5207	NA52072	High1.55
NA117	NA1171	High1.67
NA5911	NA59111	High1.8
NA2408	NA24082	High1.74
NA1101	NA11011	High1.68
NA8197	NA81972	High1.6
NA7150	NA71501	High1.41
NA5279	NA52792	High1.84
NA5407	NA54071	High1.73
NA5160	NA51601	High1.38
NA8230	NA82302	High1.47
NA5523	NA55231	High1.40
NA2409	NA24092	High1.22
NA704	NA7041	High1.27
NA5455	NA54552	High1.33
NA5575	NA55751	High1.39
NA5606	NA56061	High1.64
NA9550	NA95502	High1.62
NA7138	NA71382	High1.81
NA324	NA3242	High1.9
NA5217	NA52172	High1.79
NA2108	NA21082	High1.1
NA5133	NA51332	High1.29
NA1850	NA18502	High1.10
NA6018	NA60182	High1.77
NA5245	NA52452	High1.42
NA6046	NA60462	High1.56
NA2150	NA21501	High1.44
NA1486	NA14862	High1.80
NA5747	NA57472	High1.25
NA5049	NA50491	High1.23
NA46	NA461	High1.7
NA704	NA7042	High1.12
NA5949	NA59491	High2.55
NA5187	NA51871	High2.65
NA3236	NA32362	High2.94
NA9453	NA94532	High2.71
NA5938	NA59381	High2.37
NA9531	NA95312	High2.33
NA3367	NA33671	High2.17
NA5300	NA53001	High2.36
NA3367	NA33672	High2.53
NA7548	NA75482	High2.13
NA5029	NA50292	High2.7
NA3022	NA30221	High2.50
NA5300	NA53002	High2.56
NA9457	NA94572	High2.73
NA5090	NA50901	High2.47
NA5210	NA52101	High2.69
NA5899	NA58992	High2.2
NA5768	NA57681	High2.40
NA3233	NA32331	High2.86
NA9200	NA92002	High2.77
NA5547	NA55472	High2.83
NA442	NA4422	High2.20
NA9031	NA90312	High2.5
NA5187	NA51872	High2.76
NA9201	NA92011	High2.78
NA3005	NA30051	High2.54
NA5386	NA53861	High2.74
NA5768	NA57682	High2.19
NA9031	NA90311	High2.51
NA9201	NA92012	High2.23
NA5086	NA50861	High2.46
NA9531	NA95311	High2.15
NA5029	NA50291	High2.31
NA2405	NA24052	High2.80
NA5422	NA54221	High2.41
NA448	NA4482	High2.14
NA3283	NA32831	High2.88
NA423	NA4231	High2.3
NA3034	NA30341	High2.66
NA448	NA4481	High2.27
NA116	NA1161	High2.18
NA5949	NA59492	High2.39
NA6679	NA66792	High2.58
NA5304	NA53042	High2.75
NA183	NA1831	High2.85
NA9692	NA96922	High2.62
NA3233	NA32332	High2.91
NA189	NA1892	High2.60
NA2405	NA24051	High2.64
NA423	NA4232	High2.34
NA9453	NA94531	High2.63
NA5848	NA58481	High2.21
NA9567	NA95672	High2.93
NA3215	NA32151	High2.92
NA5896	NA58961	High2.72
NA5933	NA59332	High2.48
NA5382	NA53822	High2.59
NA2286	NA22861	Low1.40
NA26	NA261	Low1.33
NA5747	NA57471	Low1.51
NA3230	NA32301	Low1.61
NA8120	NA81202	Low1.54
NA6614	NA66142	Low1.63
NA7773	NA77732	Low1.31
NA5234	NA52342	Low1.83
NA1171	NA11711	Low1.78
NA2691	NA26912	Low1.27
NA256	NA2561	Low1.10
NA7773	NA77731	Low1.30
NA5160	NA51602	Low1.52
NA5589	NA55892	Low1.15
NA3314	NA33141	Low1.47
NA468	NA4682	Low1.77
NA1973	NA19732	Low1.4
NA5908	NA59082	Low1.82
NA20	NA202	Low1.50
NA8638	NA86382	Low1.88
NA1064	NA10641	Low1.23
NA3019	NA30192	Low1.76
NA1069	NA10692	Low1.6
NA340	NA3401	Low1.46
NA2226	NA22262	Low1.59
NA5343	NA53431	Low1.35
NA5217	NA52171	Low1.70
NA5856	NA58561	Low1.41
NA1444	NA14441	Low1.17
NA249	NA2491	Low1.72
NA73	NA732	Low1.85
NA972	NA9722	Low1.87
NA2144	NA21442	Low1.69
NA9045	NA90452	Low1.5
NA5558	NA55581	Low1.55
NA6603	NA66031	Low1.93
NA31	NA311	Low1.84
NA5947	NA59472	Low1.62
NA5481	NA54811	Low1.1
NA3079	NA30792	Low1.43
NA6059	NA60591	Low1.79
NA6731	NA67312	Low1.89
NA725	NA7252	Low1.26
NA3057	NA30572	Low1.90
NA1973	NA19731	Low1.12
NA3001	NA30011	Low1.45
NA5154	NA51541	Low1.29
NA5490	NA54901	Low1.73
NA324	NA3241	Low1.8
NA3203	NA32032	Low1.42
NA3327	NA33272	Low1.74
NA157	NA1571	Low1.20
NA6432	NA64322	Low1.68
NA6824	NA68242	Low1.64
NA6676	NA66762	Low1.56
NA5335	NA53352	Low1.65
NA2274	NA22741	Low1.24
NA6046	NA60461	Low1.86
NA2128	NA21281	Low1.80
NA8150	NA81502	Low1.39
NA3305	NA33052	Low1.44
NA1962	NA19622	Low1.71
NA5268	NA52681	Low1.91
NA5523	NA55232	Low1.48
NA3215	NA32151	Low1.9
NA1514	NA15142	Low1.36
NA5127	NA51272	Low1.75
NA9045	NA90451	Low1.13
NA584	NA5841	Low1.32
